1, 0, 0.166661812
1, 2, 0.166666083
1, 3, 0.16667996
1, 4, 0.166669833
1, 5, 0.166658201
1, 6, 0.166664111
2, 0, 0.166670155
2, 2, 0.166669195
2, 3, 0.166657268
2, 4, 0.16666906
2, 5, 0.166672482
2, 6, 0.16666184
3, 0, 0.194441824
3, 3, 0.166660095
3, 4, 0.194442325
3, 5, 0.194444854
3, 6, 0.194446416
3, 7, 0.027785968
3, 8, 0.027778518
4, 0, 0.222228908
4, 4, 0.194455905
4, 5, 0.222237005
4, 6, 0.2221955
4, 7, 0.055557099
4, 8, 0.055547742
4, 9, 0.027777841
5, 0, 0.254629127
5, 5, 0.222247392
5, 6, 0.254613979
5, 7, 0.087957056
5, 8, 0.087965248
5, 9, 0.060190116
5, 10, 0.032397082
6, 0, 0.291664607
6, 6, 0.254620363
6, 7, 0.125023204
6, 8, 0.124987624
6, 9, 0.097219307
6, 10, 0.0694413
6, 11, 0.037043595
7, 0, 0.334081626
7, 7, 0.125021851
7, 8, 0.167421396
7, 9, 0.139666261
7, 10, 0.111889402
7, 11, 0.0794881
7, 12, 0.042431364
8, 0, 0.354923768
8, 8, 0.16745198
8, 9, 0.160501569
8, 10, 0.132718093
8, 11, 0.100305032
8, 12, 0.063268563
8, 13, 0.020830995
9, 0, 0.382833279
9, 9, 0.160491241
9, 10, 0.160624866
9, 11, 0.128230331
9, 12, 0.091173864
9, 13, 0.048745141
9, 14, 0.027901278
10, 0, 0.409609069
10, 10, 0.160611433
10, 11, 0.154972455
10, 12, 0.117915304
10, 13, 0.075487616
10, 14, 0.054655155
10, 15, 0.026748968
11, 0, 0.436369187
11, 16, 0.026766241
11, 11, 0.154959082
11, 12, 0.144683101
11, 13, 0.10225922
11, 14, 0.08141807
11, 15, 0.053545099
12, 0, 0.462174065
12, 16, 0.052594102
12, 17, 0.025830101
12, 12, 0.144692974
12, 13, 0.12810392
12, 14, 0.10724529
12, 15, 0.079359548
13, 16, 0.076676939
13, 0, 0.48630673
